Category: All categories

Region,disappointment: (2016)
Washington,100
Oregon,77
Wyoming,47
Alaska,42
Montana,40
Idaho,40
Vermont,36
Arizona,35
Utah,33
Iowa,33
Virginia,33
Missouri,32
Indiana,32
Mississippi,32
Kentucky,32
North Carolina,32
West Virginia,32
Nevada,31
Louisiana,31
Alabama,31
Tennessee,31
Delaware,31
Oklahoma,31
Illinois,31
New Jersey,31
Arkansas,31
California,30
Florida,30
New York,30
Pennsylvania,30
Minnesota,30
Nebraska,29
South Carolina,29
Ohio,29
Colorado,29
Maryland,29
Connecticut,29
Michigan,28
Texas,28
District of Columbia,28
Georgia,28
Kansas,28
Wisconsin,27
Hawaii,27
Massachusetts,27
New Mexico,26
New Hampshire,24
Rhode Island,24
North Dakota,21
Maine,19
South Dakota,13
