Category: All categories

Region,disappointment: (2010)
Washington,100
Montana,84
Oregon,81
West Virginia,68
Hawaii,61
Alaska,60
Oklahoma,60
Nebraska,60
South Dakota,58
Mississippi,57
Idaho,57
Arkansas,56
New Jersey,55
Ohio,53
North Carolina,52
Maryland,52
Connecticut,52
Kentucky,51
Florida,50
Pennsylvania,49
Tennessee,49
Kansas,49
Arizona,47
Michigan,46
Louisiana,46
North Dakota,46
Indiana,46
Illinois,45
New York,45
Missouri,44
Minnesota,44
New Mexico,44
Wisconsin,44
Massachusetts,43
Georgia,43
Utah,43
South Carolina,43
Texas,42
Alabama,41
Nevada,40
District of Columbia,40
Colorado,38
Iowa,38
Rhode Island,35
Maine,35
California,31
New Hampshire,31
Vermont,27
Virginia,24
Delaware,19
Wyoming,
