Category: All categories

Region,disappointment: (2021)
Washington,100
Oregon,89
Idaho,30
Alaska,26
Montana,24
Wyoming,23
Utah,23
West Virginia,23
District of Columbia,23
Delaware,23
Hawaii,22
Maryland,22
Kansas,22
Maine,22
Minnesota,22
Colorado,21
South Dakota,21
Arkansas,21
North Carolina,21
Arizona,21
Michigan,20
Nebraska,20
Oklahoma,20
Massachusetts,20
Virginia,20
New Jersey,20
California,20
Alabama,20
Kentucky,20
Nevada,19
Mississippi,19
Georgia,19
Tennessee,19
New Mexico,19
Texas,19
Connecticut,19
Indiana,19
Rhode Island,18
Pennsylvania,18
South Carolina,18
Wisconsin,18
New Hampshire,18
Missouri,18
Louisiana,18
Illinois,18
Iowa,17
New York,17
Ohio,17
Florida,17
Vermont,16
North Dakota,16
