Category: All categories

Region,disappointment: (2018)
Washington,100
Oregon,91
Wyoming,56
Idaho,37
Alaska,34
Delaware,31
Maine,30
Hawaii,29
Mississippi,29
West Virginia,29
Utah,29
Kansas,28
Alabama,28
Arizona,27
South Dakota,27
New Hampshire,27
North Dakota,27
Missouri,26
Nevada,26
Colorado,26
Maryland,26
Arkansas,26
South Carolina,26
District of Columbia,25
Connecticut,25
Virginia,25
Oklahoma,25
Montana,25
North Carolina,25
Minnesota,25
Indiana,24
Georgia,24
New Mexico,24
Rhode Island,24
Michigan,24
Iowa,24
Massachusetts,24
Pennsylvania,24
Tennessee,24
Texas,23
Ohio,23
Vermont,23
Illinois,23
Kentucky,23
California,23
New York,23
Florida,22
Nebraska,22
New Jersey,22
Louisiana,21
Wisconsin,20
