Category: All categories

Region,disappointment: (2014)
Washington,100
Oregon,56
Wyoming,54
Arkansas,43
Idaho,42
Maine,39
Vermont,36
District of Columbia,34
Connecticut,34
Colorado,34
Nevada,34
Utah,34
Massachusetts,33
Nebraska,33
Montana,32
North Carolina,32
Alaska,32
Florida,32
Alabama,32
New Jersey,32
Louisiana,31
Missouri,31
Ohio,31
Maryland,31
Texas,31
Kansas,31
Indiana,30
Kentucky,30
Illinois,30
New York,30
Oklahoma,30
Pennsylvania,29
Iowa,29
Tennessee,29
South Carolina,29
Rhode Island,29
California,29
Arizona,29
South Dakota,28
Mississippi,28
Minnesota,28
Georgia,28
Virginia,27
New Mexico,27
New Hampshire,27
Michigan,27
Wisconsin,26
Delaware,26
North Dakota,24
Hawaii,22
West Virginia,22
