Category: All categories

Region,disappointment: (2017)
Washington,100
Oregon,81
West Virginia,45
Idaho,44
Vermont,38
Wyoming,36
Oklahoma,36
Alabama,35
Utah,33
Montana,33
Hawaii,33
Colorado,32
Mississippi,32
Tennessee,32
North Carolina,32
Kentucky,31
Rhode Island,31
Arizona,31
Missouri,31
District of Columbia,31
Nebraska,30
Connecticut,30
Georgia,30
Louisiana,30
Pennsylvania,29
Indiana,29
New Mexico,29
Ohio,29
Nevada,29
Arkansas,29
Kansas,29
Virginia,29
New Jersey,28
New York,28
Massachusetts,28
California,28
Maryland,27
Michigan,27
Wisconsin,27
Maine,27
Texas,27
South Dakota,26
South Carolina,26
Florida,26
Minnesota,26
Illinois,26
New Hampshire,26
Alaska,25
Iowa,25
Delaware,17
North Dakota,15
