Category: All categories

Region,disappointment: (2008)
Washington,100
Oregon,88
Alaska,86
Mississippi,69
New Hampshire,65
Idaho,62
Delaware,57
Iowa,50
District of Columbia,42
Rhode Island,40
Louisiana,40
South Carolina,39
Arkansas,39
New York,35
Arizona,34
Connecticut,34
New Jersey,33
Florida,32
Oklahoma,32
Maryland,32
Colorado,31
Ohio,31
Minnesota,31
West Virginia,31
Michigan,31
California,30
South Dakota,30
Pennsylvania,29
Massachusetts,29
Texas,29
Montana,29
Nebraska,28
Kentucky,27
North Carolina,26
Nevada,25
Alabama,24
Virginia,24
Missouri,23
Illinois,22
Maine,22
Kansas,20
Georgia,20
Tennessee,19
Hawaii,18
Wisconsin,15
Utah,12
Indiana,10
North Dakota,
New Mexico,
Vermont,
Wyoming,
