Category: All categories

Region,Histrionic personality disorder: (2007)
South Dakota,100
North Dakota,95
New Mexico,72
Oklahoma,55
Wyoming,53
New Hampshire,47
South Carolina,28
Utah,26
Missouri,22
Idaho,21
Tennessee,20
Rhode Island,20
Arizona,19
Ohio,18
Washington,17
Texas,16
North Carolina,16
Florida,15
Illinois,15
Kentucky,15
Pennsylvania,15
Nebraska,15
Colorado,15
New Jersey,14
District of Columbia,14
New York,14
Wisconsin,13
Maryland,13
Minnesota,12
Massachusetts,12
California,11
Virginia,10
Nevada,10
Georgia,10
Connecticut,8
Michigan,7
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Iowa,
Indiana,
Kansas,
Louisiana,
Maine,
Mississippi,
Montana,
Oregon,
Vermont,
West Virginia,
