Category: All categories

Region,Histrionic personality disorder: (2010)
West Virginia,100
South Dakota,71
Idaho,70
Rhode Island,47
Mississippi,45
Oregon,43
North Dakota,42
Wisconsin,41
Michigan,40
Pennsylvania,37
Kentucky,37
New Hampshire,36
Vermont,36
Hawaii,35
Louisiana,35
Connecticut,34
New Mexico,34
Ohio,32
Oklahoma,32
Minnesota,31
Montana,31
Utah,31
Missouri,30
Alaska,30
North Carolina,30
Tennessee,29
Texas,27
Massachusetts,26
Iowa,26
Maryland,26
Illinois,26
Georgia,26
Washington,25
District of Columbia,25
Colorado,25
Kansas,25
Indiana,24
New York,24
New Jersey,24
Arizona,23
Nevada,22
Florida,21
South Carolina,19
California,15
Nebraska,14
Virginia,13
Alabama,
Arkansas,
Delaware,
Maine,
Wyoming,
