Category: All categories

Region,Histrionic personality disorder: (2018)
Delaware,100
Arkansas,75
Oklahoma,75
Mississippi,75
Missouri,70
North Dakota,67
Louisiana,67
Kentucky,67
Colorado,62
Maryland,62
Pennsylvania,62
Utah,62
Massachusetts,60
Kansas,60
Washington,60
Virginia,60
Connecticut,60
Tennessee,57
Idaho,57
New York,57
South Dakota,57
South Carolina,57
Rhode Island,57
West Virginia,57
Wisconsin,57
Ohio,57
Indiana,57
Arizona,57
Alabama,55
District of Columbia,55
North Carolina,52
Minnesota,52
Michigan,52
New Jersey,52
Iowa,52
Maine,52
Oregon,50
Illinois,50
Nebraska,50
Nevada,50
Montana,50
Georgia,50
Wyoming,50
Hawaii,47
Florida,45
California,45
New Mexico,42
Texas,40
Alaska,35
Vermont,25
New Hampshire,22
