Category: All categories

Region,Histrionic personality disorder: (2020)
South Dakota,100
Vermont,97
District of Columbia,97
Delaware,85
Oklahoma,85
Kentucky,82
Nebraska,82
Maryland,80
Arkansas,80
Connecticut,80
Minnesota,80
Utah,77
Oregon,77
Idaho,77
Rhode Island,77
Iowa,74
Colorado,71
Indiana,71
Michigan,71
Virginia,68
Ohio,68
Kansas,65
Massachusetts,65
Illinois,65
Mississippi,65
Arizona,65
West Virginia,65
Tennessee,65
Pennsylvania,65
Missouri,62
South Carolina,62
Florida,62
North Carolina,62
Montana,62
Wisconsin,62
Alabama,62
Louisiana,62
Washington,62
Texas,60
New Jersey,60
New York,60
New Mexico,60
Georgia,57
California,57
New Hampshire,54
North Dakota,51
Maine,45
Nevada,42
Alaska,42
Hawaii,37
Wyoming,31
