Category: All categories

Region,feeling sad: (2014)
Virginia,100
Nebraska,79
Hawaii,77
Arkansas,71
New Mexico,68
Arizona,65
Colorado,63
New York,63
Kentucky,63
Louisiana,62
California,61
Wisconsin,60
Texas,58
Illinois,58
Ohio,56
New Jersey,55
Massachusetts,55
Michigan,54
Missouri,54
District of Columbia,53
Florida,53
Georgia,52
Pennsylvania,52
Indiana,50
South Carolina,50
Oklahoma,49
Iowa,49
Washington,48
Tennessee,47
North Carolina,47
Minnesota,45
Kansas,43
Connecticut,40
Alabama,40
Utah,38
Mississippi,37
Nevada,35
Oregon,34
Maryland,33
Alaska,
West Virginia,
South Dakota,
Delaware,
New Hampshire,
Rhode Island,
North Dakota,
Montana,
Maine,
Vermont,
Idaho,
Wyoming,
