Category: All categories

Region,feeling sad: (2019)
Hawaii,100
Arizona,62
New Jersey,61
District of Columbia,59
Nevada,59
California,58
Virginia,57
Maryland,57
Minnesota,55
Utah,55
New Mexico,55
Arkansas,54
Indiana,54
Pennsylvania,53
Missouri,52
New York,52
Ohio,51
Oklahoma,50
Oregon,50
Iowa,50
Washington,49
Illinois,49
Texas,49
Colorado,48
Louisiana,48
Wisconsin,48
Kansas,48
Massachusetts,47
Michigan,47
Nebraska,47
Georgia,47
North Carolina,47
Tennessee,46
Florida,46
Idaho,42
Alabama,42
Mississippi,40
Connecticut,40
Kentucky,37
South Carolina,36
South Dakota,
Rhode Island,
Vermont,
Alaska,
North Dakota,
West Virginia,
New Hampshire,
Montana,
Delaware,
Wyoming,
Maine,
