Category: All categories

Region,feeling sad: (2018)
Hawaii,100
New Mexico,92
Kansas,87
Utah,82
Mississippi,77
Nevada,77
California,74
Arizona,73
Nebraska,72
Massachusetts,68
New York,66
Connecticut,66
Indiana,66
Virginia,65
Kentucky,64
Illinois,64
District of Columbia,64
Michigan,64
Texas,64
Arkansas,63
Washington,62
Missouri,62
Alabama,62
New Jersey,62
Pennsylvania,61
Maryland,61
Wisconsin,61
Iowa,60
Louisiana,60
Minnesota,58
South Carolina,57
Florida,57
Ohio,57
Oregon,54
Tennessee,53
Colorado,52
Georgia,52
North Carolina,51
Oklahoma,40
Idaho,39
North Dakota,
South Dakota,
Vermont,
Maine,
Alaska,
Rhode Island,
New Hampshire,
Wyoming,
Delaware,
West Virginia,
Montana,
