Category: All categories

Region,Avoidant personality disorder: (2017)
Utah,100
New Mexico,96
South Dakota,
Montana,
Vermont,
Wyoming,
Arkansas,80
Washington,80
Minnesota,76
Maine,76
Delaware,
Oregon,72
Idaho,
Louisiana,72
Pennsylvania,68
Massachusetts,68
Connecticut,64
Maryland,64
Michigan,64
North Dakota,
Rhode Island,
Indiana,60
Ohio,60
New York,60
Kansas,60
Missouri,60
Virginia,60
Iowa,56
New Jersey,56
Tennessee,56
West Virginia,56
Hawaii,
Colorado,56
Nebraska,52
Kentucky,52
South Carolina,52
Alaska,
Illinois,52
Wisconsin,48
North Carolina,48
Arizona,48
Oklahoma,48
Florida,48
Georgia,48
Nevada,48
California,48
New Hampshire,44
Texas,44
Mississippi,44
Alabama,28
District of Columbia,28
