Category: All categories

Region,Avoidant personality disorder: (2008)
Delaware,
West Virginia,100
Rhode Island,
Idaho,
Connecticut,47
Kentucky,45
New Mexico,43
Iowa,36
Wisconsin,32
Ohio,29
Oklahoma,29
Indiana,29
Illinois,27
Alabama,27
Minnesota,27
Nevada,27
Oregon,25
Arizona,21
Michigan,21
New York,21
New Jersey,20
Pennsylvania,20
Nebraska,20
Louisiana,20
Georgia,20
Colorado,18
Florida,18
Washington,18
Texas,16
California,16
Virginia,16
District of Columbia,16
Massachusetts,16
Tennessee,16
Maryland,14
North Carolina,12
Utah,12
Missouri,10
Alaska,
Arkansas,
Hawaii,
Kansas,
Maine,
Mississippi,
Montana,
North Dakota,
New Hampshire,
South Carolina,
South Dakota,
Vermont,
Wyoming,
