Category: All categories

Region,Avoidant personality disorder: (2013)
South Dakota,
Wyoming,
Mississippi,100
Kentucky,96
New Hampshire,93
New Mexico,93
Indiana,86
Maine,86
Connecticut,82
North Dakota,
Alabama,79
Utah,79
West Virginia,75
Kansas,75
Washington,75
Alaska,
Idaho,
Nevada,72
New Jersey,68
Missouri,68
Pennsylvania,68
Rhode Island,
North Carolina,65
Minnesota,65
Massachusetts,65
Maryland,62
Tennessee,62
New York,62
Colorado,58
Georgia,58
Virginia,58
Michigan,55
Florida,55
Illinois,55
Ohio,55
California,51
Wisconsin,51
Arizona,51
Louisiana,51
Oklahoma,48
Delaware,
South Carolina,44
Vermont,
Nebraska,41
Iowa,41
Oregon,41
Texas,37
Hawaii,
District of Columbia,34
Arkansas,27
Montana,
