Category: All categories

Region,Avoidant personality disorder: (2006)
Arkansas,100
Iowa,46
Rhode Island,
Minnesota,36
New Jersey,33
Washington,24
Kansas,24
Oklahoma,23
Arizona,22
Alabama,21
Michigan,21
Oregon,20
Nevada,17
Maryland,17
Indiana,16
Kentucky,15
Louisiana,15
Pennsylvania,14
Colorado,13
South Carolina,12
District of Columbia,12
North Carolina,12
Illinois,12
Connecticut,12
New York,11
California,11
Massachusetts,10
Florida,10
Texas,9
Wisconsin,7
Georgia,7
Ohio,7
Alaska,
Delaware,
Hawaii,
Idaho,
Maine,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
South Dakota,
Tennessee,
Utah,
Virginia,
Vermont,
West Virginia,
Wyoming,
