Category: All categories

Region,im stupid: (2014)
Montana,
South Dakota,
Rhode Island,
North Dakota,
New Mexico,
Mississippi,100
Arizona,100
Louisiana,86
Hawaii,
Oklahoma,81
Utah,81
Pennsylvania,81
Nevada,77
Washington,77
Indiana,77
New Jersey,77
Nebraska,
North Carolina,72
Alabama,72
New York,72
Minnesota,72
Ohio,72
Virginia,72
Idaho,
Florida,72
Tennessee,68
Colorado,68
Missouri,68
Illinois,68
Michigan,68
Texas,68
Maryland,68
California,63
South Carolina,63
Wisconsin,63
Georgia,63
Iowa,59
District of Columbia,
Massachusetts,54
Connecticut,50
Kentucky,50
Arkansas,50
West Virginia,
Kansas,45
Oregon,45
Alaska,
New Hampshire,
Delaware,
Maine,
Vermont,
Wyoming,
