Category: All categories

Region,im stupid: (2011)
Vermont,
Montana,
Mississippi,100
Louisiana,96
Pennsylvania,90
New Hampshire,
Oklahoma,83
New Mexico,
North Carolina,77
North Dakota,
Tennessee,77
Kansas,74
New York,74
Massachusetts,74
Iowa,74
New Jersey,74
Michigan,74
Florida,70
Texas,70
Missouri,70
Kentucky,70
California,70
Connecticut,70
Illinois,67
South Carolina,67
Hawaii,
Nevada,64
Rhode Island,
Arkansas,64
Indiana,61
South Dakota,
Minnesota,61
Washington,61
Wisconsin,61
Arizona,61
Ohio,58
Utah,58
West Virginia,
Georgia,58
Virginia,54
Alabama,54
Colorado,54
Maryland,54
Maine,
Oregon,48
Nebraska,
Idaho,
Alaska,
District of Columbia,
Delaware,
Wyoming,
