Category: All categories

Region,im stupid: (2010)
North Dakota,
Montana,
Rhode Island,
Alaska,
Kansas,100
Wyoming,
Nevada,89
Colorado,87
Connecticut,84
New Mexico,
Oklahoma,76
Oregon,76
Ohio,76
Louisiana,76
New Jersey,74
Florida,74
Michigan,74
Massachusetts,71
North Carolina,71
Alabama,71
Arkansas,69
Mississippi,66
Texas,66
New York,66
Kentucky,64
Illinois,61
Georgia,58
Indiana,58
South Dakota,
Iowa,56
Nebraska,
Missouri,53
Pennsylvania,51
District of Columbia,
Maine,
New Hampshire,
Maryland,48
Tennessee,46
Hawaii,
California,43
South Carolina,41
Wisconsin,38
Washington,38
Virginia,33
Utah,33
Vermont,
Arizona,30
Minnesota,28
Delaware,
Idaho,
West Virginia,
