Category: All categories

Region,im stupid: (2012)
Vermont,
Montana,
New Hampshire,
Iowa,100
North Dakota,
Arkansas,90
Oklahoma,83
Mississippi,80
Kansas,76
Nevada,76
Illinois,73
Alabama,66
Utah,66
Texas,66
South Carolina,63
Louisiana,63
Pennsylvania,63
Tennessee,63
Nebraska,
Georgia,60
California,60
New Jersey,60
Florida,60
New York,60
Michigan,60
West Virginia,
North Carolina,56
Rhode Island,
Massachusetts,53
Ohio,50
Washington,50
Connecticut,50
New Mexico,
Oregon,50
Minnesota,46
Maine,
Virginia,46
Kentucky,46
Indiana,46
Hawaii,
Missouri,43
Maryland,43
Arizona,43
Colorado,43
Wisconsin,40
South Dakota,
District of Columbia,
Idaho,
Alaska,
Delaware,
Wyoming,
