Category: All categories

Region,im stupid: (2021)
Wyoming,
Idaho,
Oregon,100
Hawaii,
Nebraska,
Connecticut,90
Oklahoma,85
New Mexico,
Delaware,
Washington,80
Arizona,80
Montana,
Kentucky,75
Minnesota,75
Michigan,75
Illinois,75
Indiana,70
Tennessee,70
Virginia,70
Texas,70
Alabama,70
Maryland,70
Colorado,70
Missouri,65
New Hampshire,
Massachusetts,65
Louisiana,65
Ohio,65
California,65
South Carolina,60
Florida,60
Utah,60
Iowa,60
North Carolina,60
Nevada,60
Georgia,55
Pennsylvania,55
Vermont,
New York,55
Mississippi,50
Kansas,50
New Jersey,50
North Dakota,
Arkansas,45
Alaska,
Wisconsin,40
Rhode Island,
West Virginia,
Maine,
District of Columbia,
South Dakota,
