Category: All categories

Region,im stupid: (2015)
Arkansas,100
Vermont,
Maine,
Idaho,
Louisiana,82
District of Columbia,
Iowa,67
Oklahoma,67
Nebraska,
Missouri,64
Tennessee,60
New York,57
Utah,57
North Carolina,57
Ohio,57
North Dakota,
California,57
Maryland,57
Kansas,57
Texas,57
Illinois,57
West Virginia,
Pennsylvania,53
Alabama,53
Arizona,53
South Carolina,53
Michigan,53
Oregon,53
New Mexico,
Washington,50
Nevada,50
Virginia,50
Indiana,50
Florida,50
Minnesota,46
New Jersey,46
Georgia,46
Hawaii,
Rhode Island,
Wisconsin,39
Massachusetts,39
Delaware,
Mississippi,39
Colorado,35
New Hampshire,
Montana,
Kentucky,28
Connecticut,25
Alaska,
South Dakota,
Wyoming,
