Category: All categories

Region,friends hate me: (2018)
Wyoming,
West Virginia,
Maine,
Nebraska,
Pennsylvania,100
Indiana,100
Alaska,
New Jersey,83
Kansas,
Arizona,83
Nevada,
Ohio,83
Idaho,
Missouri,83
Massachusetts,66
Louisiana,
Virginia,66
Washington,66
North Carolina,66
Colorado,66
Minnesota,66
South Carolina,
Utah,
Alabama,
District of Columbia,
Iowa,
Florida,50
Texas,50
New York,50
Connecticut,
California,50
Michigan,50
Maryland,50
Oklahoma,
Illinois,50
Georgia,33
Tennessee,33
Oregon,
Wisconsin,16
Arkansas,
Kentucky,
Delaware,
Hawaii,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Vermont,
