Category: All categories

Region,friends hate me: (2017)
Alaska,
South Dakota,
Maine,
North Dakota,
Wyoming,
Rhode Island,
Hawaii,
Idaho,
Nevada,
Montana,
West Virginia,
Iowa,
Connecticut,
Pennsylvania,100
Oklahoma,
Arkansas,
Nebraska,
South Carolina,
New Hampshire,
New Jersey,80
Massachusetts,80
Kentucky,
Michigan,80
New Mexico,
Minnesota,80
Illinois,80
Wisconsin,80
Mississippi,
Ohio,80
Texas,80
Colorado,80
Virginia,60
Washington,60
Alabama,
New York,60
Indiana,60
District of Columbia,
California,60
Florida,40
Utah,
Oregon,
Louisiana,
Missouri,40
Tennessee,40
Georgia,40
Arizona,40
North Carolina,40
Kansas,
Delaware,
Maryland,
Vermont,
