Category: All categories

Region,friends hate me: (2010)
South Dakota,
North Dakota,
Nebraska,
New Hampshire,
Rhode Island,
Oklahoma,
Missouri,100
Utah,
South Carolina,
Colorado,60
Oregon,
Connecticut,
Michigan,50
Massachusetts,50
Ohio,50
Arizona,50
North Carolina,40
Wisconsin,40
Minnesota,40
District of Columbia,
Illinois,40
Texas,30
New Jersey,20
Pennsylvania,20
Washington,20
Florida,20
California,20
New York,10
Virginia,10
Alaska,
Alabama,
Arkansas,
Delaware,
Georgia,
Hawaii,
Iowa,
Idaho,
Indiana,
Kansas,
Kentucky,
Louisiana,
Maryland,
Maine,
Mississippi,
Montana,
New Mexico,
Nevada,
Tennessee,
Vermont,
West Virginia,
Wyoming,
