Category: All categories

Region,friends hate me: (2020)
South Dakota,
Montana,
Maine,
Alaska,
Kansas,
West Virginia,
Minnesota,100
Nebraska,
Indiana,95
Arkansas,
Missouri,90
Oklahoma,
Michigan,85
Oregon,
Delaware,
New Hampshire,
Iowa,
North Dakota,
Arizona,80
Mississippi,
Alabama,
Kentucky,
Ohio,80
Massachusetts,76
North Carolina,76
Connecticut,
Wisconsin,76
Illinois,76
Washington,71
Vermont,
Tennessee,71
Pennsylvania,71
Nevada,
South Carolina,
Colorado,71
Virginia,66
Florida,61
Utah,
Hawaii,
Louisiana,
New Mexico,
Wyoming,
Georgia,57
Texas,52
California,52
Idaho,
Maryland,52
New Jersey,52
New York,47
Rhode Island,
District of Columbia,
