Category: All categories

Region,friends hate me: (2014)
Delaware,
Hawaii,
North Dakota,
New Mexico,
Arkansas,
Nebraska,
Idaho,
Michigan,100
Iowa,
Alabama,
Missouri,100
District of Columbia,
New Jersey,83
Massachusetts,83
Pennsylvania,83
Mississippi,
Florida,66
Kentucky,
New York,66
Indiana,66
Wisconsin,66
Maryland,66
Georgia,66
Illinois,66
Utah,
California,66
Texas,50
Colorado,50
Virginia,50
North Carolina,50
Minnesota,50
Nevada,
Arizona,33
Louisiana,
Oregon,
Oklahoma,
Connecticut,
Washington,16
Kansas,
Ohio,16
Alaska,
Maine,
Montana,
New Hampshire,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Vermont,
West Virginia,
Wyoming,
