Category: All categories

Region,friends hate me: (2021)
Delaware,
Mississippi,
Nebraska,
North Dakota,
Utah,
Montana,
Missouri,100
Indiana,100
Hawaii,
New Mexico,
Washington,90
Colorado,90
Georgia,80
Michigan,80
Ohio,80
Illinois,80
Iowa,
Oklahoma,
North Carolina,70
Minnesota,70
Kentucky,
Virginia,70
Pennsylvania,70
West Virginia,
Oregon,
California,70
Texas,70
Tennessee,70
New Jersey,60
Florida,60
Massachusetts,60
Wisconsin,60
Arizona,60
Louisiana,
Arkansas,
Alabama,
Kansas,
New York,50
Maine,
South Carolina,
Maryland,40
Connecticut,
Idaho,
New Hampshire,
Alaska,
District of Columbia,
Nevada,
Rhode Island,
South Dakota,
Vermont,
Wyoming,
