Category: All categories

Region,friends hate me: (2016)
Wyoming,
Hawaii,
New Hampshire,
Idaho,
South Dakota,
Kentucky,
Indiana,100
Oklahoma,
Illinois,75
Ohio,75
Maryland,75
Virginia,62
Arkansas,
Washington,62
Arizona,62
Colorado,62
Mississippi,
Massachusetts,62
Nebraska,
Connecticut,
Pennsylvania,50
Iowa,
Alabama,
South Carolina,
Georgia,50
North Carolina,50
New York,50
California,50
Missouri,37
West Virginia,
Tennessee,37
Florida,37
New Jersey,37
Minnesota,37
Oregon,
Wisconsin,37
Utah,
Texas,37
Michigan,37
Kansas,
Alaska,
District of Columbia,
Delaware,
Louisiana,
Maine,
Montana,
North Dakota,
New Mexico,
Nevada,
Rhode Island,
Vermont,
