Category: All categories

Region,friends hate me: (2019)
Nebraska,
New Hampshire,
Maine,
Vermont,
Idaho,
Hawaii,
South Dakota,
Washington,100
New Mexico,
Rhode Island,
Missouri,83
Kentucky,
Arkansas,
Pennsylvania,75
Kansas,
Minnesota,75
North Dakota,
Nevada,
Mississippi,
Ohio,66
Colorado,66
Virginia,66
Illinois,66
Oklahoma,
Georgia,66
New Jersey,58
South Carolina,
Tennessee,58
Iowa,
Alaska,
Connecticut,
District of Columbia,
Oregon,
California,58
Michigan,50
Indiana,50
Florida,50
Arizona,50
Texas,50
Massachusetts,50
Wisconsin,50
New York,50
North Carolina,50
Delaware,
Alabama,
Utah,
Maryland,25
Louisiana,
Montana,
West Virginia,
Wyoming,
