Category: All categories

Region,Narcissistic personality disorder: (2021)
Vermont,100
Hawaii,91
North Dakota,90
Maine,87
Alaska,83
Utah,83
Rhode Island,81
Connecticut,80
Wyoming,79
New Hampshire,78
Montana,77
Delaware,73
Wisconsin,73
Missouri,72
Kansas,72
Oregon,72
South Dakota,72
Minnesota,70
Pennsylvania,69
Arizona,69
Massachusetts,69
Tennessee,69
Illinois,67
Nebraska,66
Idaho,66
Michigan,66
Arkansas,66
Kentucky,65
Indiana,65
Iowa,65
Washington,65
Colorado,65
New Mexico,63
Louisiana,63
Virginia,63
Mississippi,61
North Carolina,61
West Virginia,61
New Jersey,60
Oklahoma,60
Ohio,60
South Carolina,60
Florida,57
Maryland,55
Alabama,54
Georgia,53
New York,53
District of Columbia,52
California,51
Texas,49
Nevada,47
