Category: All categories

Region,Narcissistic personality disorder: (2020)
Vermont,100
New Hampshire,98
Rhode Island,97
Connecticut,92
Maine,85
West Virginia,79
Utah,76
Oregon,75
North Dakota,73
Massachusetts,71
Pennsylvania,71
Nebraska,70
Wisconsin,70
Colorado,69
Minnesota,69
Hawaii,69
New Mexico,68
Montana,68
Missouri,67
Alaska,67
Tennessee,67
Kansas,67
Maryland,66
Arizona,66
Kentucky,65
Indiana,65
North Carolina,65
Illinois,65
Louisiana,64
Virginia,64
Idaho,64
Arkansas,64
Oklahoma,62
Washington,62
South Carolina,62
Mississippi,61
Michigan,61
Delaware,60
New Jersey,60
New York,60
Florida,59
Georgia,59
Nevada,59
South Dakota,59
Ohio,59
Alabama,58
Iowa,57
Texas,53
California,52
District of Columbia,52
Wyoming,44
