Category: All categories

Region,Narcissistic personality disorder: (2015)
Maine,100
West Virginia,96
New Mexico,95
Rhode Island,95
Montana,91
New Hampshire,91
South Dakota,88
Delaware,88
North Dakota,87
Idaho,86
Vermont,86
Washington,85
Mississippi,85
Iowa,84
Maryland,82
Colorado,80
Missouri,78
Pennsylvania,78
Massachusetts,77
Minnesota,75
Wisconsin,75
Kentucky,75
Wyoming,75
Indiana,74
Arkansas,73
Connecticut,73
Louisiana,73
Michigan,72
Arizona,71
New Jersey,71
Alaska,70
Oregon,67
Ohio,66
Illinois,66
South Carolina,66
Tennessee,65
District of Columbia,64
Nebraska,63
Georgia,63
Alabama,62
New York,62
North Carolina,61
Florida,57
California,57
Utah,56
Oklahoma,56
Nevada,55
Texas,52
Kansas,50
Virginia,41
Hawaii,37
