Category: All categories

Region,Narcissistic personality disorder: (2004)
Delaware,100
North Dakota,40
Oklahoma,31
Maine,24
Vermont,17
Mississippi,16
Utah,15
Ohio,14
Wisconsin,14
Nebraska,13
Missouri,13
Minnesota,12
Kentucky,11
Colorado,11
North Carolina,10
Indiana,10
Pennsylvania,9
Louisiana,9
Connecticut,8
Massachusetts,8
Washington,8
Alabama,8
New Jersey,8
Tennessee,7
Kansas,7
Georgia,7
New York,7
South Carolina,7
California,7
Texas,7
Michigan,7
Illinois,6
Oregon,6
District of Columbia,5
Virginia,5
Florida,5
Arizona,4
Maryland,4
Alaska,
Arkansas,
Hawaii,
Iowa,
Idaho,
Montana,
New Hampshire,
New Mexico,
Nevada,
Rhode Island,
South Dakota,
West Virginia,
Wyoming,
