Category: All categories

Region,Narcissistic personality disorder: (2012)
Vermont,100
Maine,88
Rhode Island,77
Wyoming,75
New Mexico,74
Oregon,70
Maryland,66
Colorado,62
Tennessee,62
Delaware,61
Oklahoma,61
Arkansas,60
Virginia,60
Utah,60
Alabama,59
North Carolina,59
Idaho,58
Minnesota,57
Washington,57
Montana,57
New Hampshire,56
West Virginia,55
Pennsylvania,54
Connecticut,54
Wisconsin,54
Kansas,53
Massachusetts,52
Ohio,51
Kentucky,51
District of Columbia,51
Missouri,51
Hawaii,50
Michigan,49
South Carolina,49
Mississippi,49
Indiana,48
Louisiana,48
Illinois,48
South Dakota,47
Georgia,47
Florida,47
New York,45
Arizona,45
Alaska,44
Texas,44
New Jersey,43
California,43
North Dakota,43
Nebraska,42
Iowa,42
Nevada,40
