Category: All categories

Region,Narcissistic personality disorder: (2005)
Iowa,100
North Dakota,89
Delaware,87
Kentucky,86
Arkansas,57
New Jersey,56
New Hampshire,51
Kansas,50
Washington,50
New Mexico,49
Louisiana,47
Indiana,46
Oregon,46
Oklahoma,44
Missouri,43
Minnesota,40
Massachusetts,40
Hawaii,39
Arizona,38
District of Columbia,36
Florida,35
Virginia,33
Nevada,33
Nebraska,32
Pennsylvania,30
Texas,30
Rhode Island,30
California,29
Georgia,28
North Carolina,28
Ohio,28
Tennessee,26
New York,24
Wisconsin,23
Illinois,21
Utah,20
Colorado,17
Michigan,16
South Carolina,16
Connecticut,15
Maryland,11
Alaska,
Alabama,
Idaho,
Maine,
Mississippi,
Montana,
South Dakota,
Vermont,
West Virginia,
Wyoming,
