Category: All categories

Region,Narcissistic personality disorder: (2011)
Mississippi,100
Arkansas,97
Maine,95
West Virginia,92
South Dakota,88
Alaska,87
Oregon,86
Rhode Island,86
Alabama,85
Tennessee,84
New Mexico,82
New Hampshire,82
Colorado,81
Delaware,80
Washington,78
Utah,77
Michigan,77
Louisiana,77
Maryland,76
Indiana,75
Ohio,75
Connecticut,75
Kansas,75
Wyoming,74
North Carolina,74
Wisconsin,73
Massachusetts,72
Minnesota,72
Pennsylvania,71
Missouri,70
South Carolina,69
Nebraska,68
New Jersey,67
Hawaii,67
Illinois,67
Georgia,66
Vermont,66
Arizona,66
District of Columbia,65
Virginia,64
Montana,64
Oklahoma,63
Kentucky,61
Florida,60
New York,60
Nevada,59
Texas,58
Idaho,56
California,55
Iowa,51
North Dakota,51
