Category: All categories

Region,Narcissistic personality disorder: (2010)
Maine,100
Montana,84
South Dakota,75
New Hampshire,73
Oregon,69
Minnesota,65
Alaska,64
Ohio,61
Utah,59
Indiana,58
Connecticut,58
Colorado,58
Alabama,57
Wisconsin,56
Oklahoma,56
Nebraska,56
Michigan,56
Kansas,56
West Virginia,56
Wyoming,54
Missouri,54
Washington,54
Kentucky,52
New Jersey,52
North Carolina,52
Pennsylvania,52
Louisiana,51
Maryland,50
Tennessee,50
New Mexico,49
Illinois,49
Arizona,49
Massachusetts,48
District of Columbia,47
Arkansas,46
North Dakota,46
New York,45
Texas,45
South Carolina,44
Vermont,43
Florida,43
Nevada,42
Iowa,42
Georgia,41
Idaho,40
Rhode Island,36
Mississippi,32
California,30
Hawaii,20
Virginia,20
Delaware,
