Category: All categories

Region,lonely: (2005)
Hawaii,100
Rhode Island,89
Vermont,87
New York,85
Alaska,83
Wyoming,83
New Hampshire,82
Massachusetts,80
Connecticut,79
Maine,78
Oregon,78
South Dakota,77
California,76
Washington,76
District of Columbia,74
Minnesota,74
New Mexico,74
Arkansas,74
New Jersey,72
Wisconsin,71
Iowa,71
Michigan,71
Louisiana,70
Pennsylvania,69
Utah,69
Kansas,68
Nebraska,68
Montana,67
Maryland,66
Virginia,66
Delaware,65
Colorado,65
Kentucky,65
Idaho,65
West Virginia,65
North Carolina,64
Illinois,64
Indiana,63
Tennessee,63
Nevada,62
Arizona,62
North Dakota,62
Texas,61
Ohio,60
South Carolina,58
Florida,58
Georgia,57
Missouri,57
Oklahoma,56
Alabama,53
Mississippi,49
