Category: All categories

Region,lonely: (2010)
Rhode Island,100
Alaska,98
Hawaii,95
New Hampshire,95
Wyoming,92
Mississippi,92
New York,92
New Mexico,89
Oregon,89
Montana,88
Vermont,87
Maine,87
Connecticut,86
Kentucky,85
Pennsylvania,85
Arkansas,83
North Dakota,81
Nebraska,81
Texas,80
Indiana,80
South Dakota,79
New Jersey,79
Florida,79
Washington,78
Kansas,78
South Carolina,78
Massachusetts,78
Delaware,77
Louisiana,77
Wisconsin,77
Nevada,77
Colorado,77
Idaho,75
District of Columbia,74
Michigan,73
Tennessee,73
California,73
Oklahoma,73
Maryland,72
North Carolina,72
Missouri,71
Arizona,71
Alabama,70
Illinois,69
Georgia,69
Iowa,68
Ohio,68
West Virginia,67
Minnesota,67
Utah,65
Virginia,64
