Category: All categories

Region,lonely: (2016)
New York,100
Alaska,100
New Mexico,95
Vermont,95
Hawaii,95
Tennessee,94
Oregon,92
California,92
Maine,90
Montana,87
Washington,86
Mississippi,84
West Virginia,84
Colorado,84
Rhode Island,83
Wyoming,83
Missouri,82
Texas,82
Wisconsin,81
Minnesota,81
North Dakota,81
North Carolina,81
Arkansas,81
Massachusetts,80
Idaho,80
Arizona,79
Illinois,79
Indiana,79
Louisiana,79
New Jersey,78
Maryland,78
Oklahoma,78
Ohio,78
Pennsylvania,78
Georgia,78
South Dakota,78
New Hampshire,77
Virginia,77
Kansas,77
District of Columbia,76
Delaware,76
Nebraska,76
Alabama,75
Kentucky,75
Utah,74
Nevada,73
Iowa,72
Michigan,72
Florida,71
Connecticut,70
South Carolina,69
