Category: All categories

Region,lonely: (2017)
Hawaii,100
Vermont,96
New Mexico,95
Oregon,94
New York,94
Maine,92
Alaska,88
California,88
Washington,87
Colorado,87
Illinois,84
Massachusetts,84
Wyoming,83
New Hampshire,83
Pennsylvania,82
Arizona,82
Texas,80
North Dakota,80
Indiana,79
Virginia,79
Michigan,79
New Jersey,79
Arkansas,79
Wisconsin,79
South Dakota,79
Rhode Island,79
Mississippi,79
West Virginia,78
Montana,78
Tennessee,78
District of Columbia,77
Ohio,77
North Carolina,76
Missouri,76
Nebraska,76
Idaho,76
Georgia,75
Utah,74
Minnesota,74
Maryland,73
Connecticut,73
Florida,72
Kentucky,72
Alabama,71
Iowa,71
Delaware,71
Oklahoma,70
Kansas,70
Louisiana,70
Nevada,69
South Carolina,68
