Category: All categories

Region,lonely: (2013)
Vermont,100
Hawaii,97
Alaska,95
New Mexico,92
Montana,88
Maine,87
Washington,87
California,86
Colorado,85
New York,83
Wyoming,81
Virginia,81
District of Columbia,80
Idaho,79
Texas,79
Massachusetts,79
South Dakota,79
Arizona,77
Nebraska,77
North Dakota,76
Georgia,76
Arkansas,75
Pennsylvania,75
New Jersey,74
Missouri,73
Delaware,73
Tennessee,73
Mississippi,73
West Virginia,72
Oregon,72
Michigan,72
Illinois,72
New Hampshire,72
Rhode Island,71
Kentucky,71
Minnesota,70
Louisiana,70
Nevada,70
Florida,70
Indiana,70
Ohio,69
Utah,69
Kansas,69
North Carolina,68
Connecticut,67
Iowa,67
Maryland,67
South Carolina,66
Wisconsin,66
Alabama,65
Oklahoma,64
