Category: All categories

Region,lonely: (2020)
Vermont,100
Oregon,91
Hawaii,90
Minnesota,89
California,89
Georgia,87
Utah,86
Missouri,86
Maine,86
Alaska,85
Wyoming,84
Indiana,84
New Mexico,84
Tennessee,84
Illinois,84
Colorado,83
Rhode Island,83
Massachusetts,83
Idaho,83
New Jersey,82
Washington,81
Delaware,81
Wisconsin,81
District of Columbia,81
Arizona,80
Montana,80
Maryland,80
Nebraska,80
Texas,80
Mississippi,79
Alabama,79
Virginia,79
Michigan,79
Pennsylvania,78
North Carolina,78
Louisiana,77
New York,77
Kentucky,77
Ohio,76
Oklahoma,76
Kansas,75
South Dakota,75
Arkansas,75
New Hampshire,75
Connecticut,75
West Virginia,74
North Dakota,73
Florida,72
Iowa,71
South Carolina,70
Nevada,69
