Category: All categories

Region,lonely: (2011)
Alaska,100
Wyoming,96
New Mexico,93
California,92
Vermont,91
Hawaii,90
Rhode Island,88
South Dakota,88
Montana,86
Massachusetts,86
Washington,85
West Virginia,82
New York,81
Pennsylvania,80
Virginia,80
Maryland,80
Michigan,79
Wisconsin,79
Oregon,79
Arkansas,78
Nebraska,78
Texas,78
Colorado,78
Indiana,77
Maine,77
Idaho,77
New Hampshire,76
Iowa,76
North Dakota,75
Ohio,75
New Jersey,75
Kentucky,75
Kansas,75
Nevada,73
Mississippi,73
Louisiana,72
Illinois,72
North Carolina,72
Minnesota,72
Oklahoma,71
Alabama,71
Connecticut,70
Florida,70
South Carolina,70
Georgia,69
Delaware,69
Utah,69
Arizona,68
District of Columbia,66
Tennessee,65
Missouri,64
