Category: All categories

Region,lonely: (2018)
Vermont,100
Maine,100
District of Columbia,97
California,93
Oregon,93
Hawaii,93
Alaska,92
New Mexico,92
North Dakota,89
Wyoming,88
New York,88
Washington,87
Nebraska,85
Colorado,85
Montana,84
Rhode Island,84
Massachusetts,84
Tennessee,84
Idaho,81
Illinois,81
Wisconsin,81
Arizona,81
Pennsylvania,81
Virginia,80
North Carolina,80
Indiana,80
Texas,79
South Dakota,78
Mississippi,77
Maryland,77
Arkansas,76
Michigan,76
Kansas,75
Minnesota,75
Ohio,75
Nevada,75
Georgia,75
New Jersey,74
New Hampshire,74
Kentucky,74
Oklahoma,74
Iowa,73
Utah,73
West Virginia,73
Delaware,72
South Carolina,70
Connecticut,69
Alabama,69
Louisiana,69
Missouri,65
Florida,64
