Category: All categories

Region,lonely: (2009)
Alaska,100
Vermont,95
New York,92
Maine,88
Hawaii,87
Oregon,85
Connecticut,84
Rhode Island,84
South Dakota,83
Arkansas,82
Massachusetts,82
Idaho,82
Delaware,80
Kentucky,80
New Mexico,79
Pennsylvania,78
New Hampshire,77
Texas,77
Michigan,76
Montana,76
Nebraska,75
Kansas,75
Mississippi,75
Washington,75
New Jersey,74
Indiana,74
Tennessee,73
West Virginia,73
Colorado,73
Wisconsin,73
Iowa,72
Oklahoma,71
Nevada,71
South Carolina,71
Maryland,70
Louisiana,70
Wyoming,68
Utah,67
Missouri,67
District of Columbia,67
Arizona,67
Alabama,67
California,66
Minnesota,66
Florida,65
Illinois,65
North Carolina,64
Ohio,64
Georgia,62
Virginia,54
North Dakota,47
