Category: All categories

Region,lonely: (2007)
Hawaii,100
Maine,91
Wyoming,88
Montana,88
Vermont,87
New Mexico,84
New York,84
Alaska,80
Connecticut,76
Colorado,76
Delaware,75
New Hampshire,75
Washington,73
Oregon,72
West Virginia,71
California,71
District of Columbia,70
South Dakota,70
Kansas,69
Massachusetts,69
Maryland,69
Iowa,68
Rhode Island,68
Utah,67
North Dakota,67
New Jersey,66
Michigan,65
Kentucky,64
Pennsylvania,63
Missouri,63
Arizona,63
Louisiana,63
Minnesota,62
Indiana,62
Oklahoma,61
North Carolina,61
Idaho,61
Wisconsin,60
South Carolina,60
Arkansas,60
Virginia,59
Texas,59
Nevada,58
Mississippi,57
Illinois,57
Nebraska,57
Ohio,57
Tennessee,56
Georgia,55
Florida,53
Alabama,53
