Category: All categories

Region,lonely: (2008)
Hawaii,100
Vermont,100
Rhode Island,95
Alaska,92
Montana,91
New York,90
New Mexico,89
Delaware,88
Oregon,86
Maine,81
California,81
Washington,81
Wyoming,80
Connecticut,79
Louisiana,78
Massachusetts,76
Colorado,76
Nebraska,75
New Hampshire,74
West Virginia,74
Maryland,74
District of Columbia,74
Texas,72
Kentucky,71
Kansas,71
Michigan,71
Tennessee,70
Oklahoma,69
Minnesota,68
Pennsylvania,68
New Jersey,68
Nevada,68
Iowa,67
Arkansas,67
Wisconsin,66
Missouri,66
Utah,64
Arizona,64
Illinois,63
Indiana,62
North Carolina,62
Ohio,62
South Dakota,62
Alabama,61
North Dakota,61
Georgia,61
Mississippi,60
Florida,58
South Carolina,58
Idaho,56
Virginia,54
