Category: All categories

Region,lonely: (2019)
Vermont,100
District of Columbia,96
New Mexico,92
Hawaii,92
Maine,91
Alaska,90
Montana,89
Minnesota,89
Massachusetts,89
South Dakota,87
Tennessee,87
California,86
Wyoming,85
Texas,84
Mississippi,83
Oregon,82
New Hampshire,82
Missouri,82
Arizona,81
Idaho,81
Nebraska,81
Washington,80
Colorado,80
Pennsylvania,80
Virginia,80
New York,80
Indiana,79
Rhode Island,79
Maryland,79
North Dakota,79
Illinois,78
Arkansas,78
North Carolina,78
West Virginia,77
Ohio,77
Utah,77
Michigan,77
Kentucky,76
Georgia,76
Alabama,75
New Jersey,75
Delaware,74
Wisconsin,73
Oklahoma,72
Kansas,72
Louisiana,71
Iowa,71
Connecticut,70
South Carolina,70
Florida,68
Nevada,68
