Category: All categories

Region,suicidal friend: (2020)
Utah,
Hawaii,
Oregon,
Idaho,
Nebraska,
Rhode Island,
Washington,100
Colorado,
Maine,
Minnesota,
New Hampshire,
Michigan,71
North Carolina,71
Kentucky,
California,71
Nevada,
Louisiana,
Wisconsin,71
Virginia,71
Kansas,
Ohio,71
Texas,57
Pennsylvania,57
Maryland,
West Virginia,
Missouri,
Indiana,
District of Columbia,
New York,57
New Mexico,
South Carolina,
Illinois,57
Massachusetts,57
Oklahoma,
Tennessee,
Georgia,42
Arkansas,
New Jersey,42
Alabama,
Iowa,
Florida,42
Connecticut,
Arizona,
Mississippi,
Alaska,
Delaware,
Montana,
North Dakota,
South Dakota,
Vermont,
Wyoming,
