Category: All categories

Region,sin: (2018)
Texas,100
Florida,97
Nevada,94
California,87
New Jersey,82
Arizona,77
New Mexico,76
New York,72
Maryland,69
Arkansas,67
Oklahoma,66
Rhode Island,64
Georgia,63
Connecticut,63
Illinois,62
Alabama,62
North Carolina,62
Washington,62
Virginia,62
Colorado,60
Utah,60
Oregon,59
Mississippi,59
Alaska,59
Tennessee,58
Kansas,58
Indiana,57
Massachusetts,57
South Carolina,56
Kentucky,55
Delaware,54
Pennsylvania,54
Iowa,54
Louisiana,53
Michigan,52
Idaho,50
Missouri,50
Wyoming,49
Ohio,49
Wisconsin,49
North Dakota,49
South Dakota,49
Nebraska,48
Hawaii,47
Minnesota,47
District of Columbia,46
West Virginia,45
Vermont,43
Montana,43
New Hampshire,41
Maine,38
