Category: All categories

Region,sin: (2017)
Nevada,100
Florida,96
Texas,95
California,83
New Jersey,78
New Mexico,76
New York,76
Arizona,76
Arkansas,71
Maryland,70
Virginia,69
Kansas,69
North Carolina,66
Massachusetts,65
Alabama,64
Oklahoma,64
Rhode Island,64
Georgia,64
Illinois,63
Colorado,63
Utah,63
Mississippi,62
Tennessee,61
Indiana,61
Kentucky,60
Washington,60
Connecticut,60
Alaska,59
District of Columbia,59
Oregon,59
Pennsylvania,58
South Carolina,58
Missouri,56
Louisiana,55
Delaware,55
Ohio,53
Nebraska,53
Minnesota,53
Wisconsin,53
Iowa,52
Wyoming,51
Idaho,51
West Virginia,51
Michigan,50
South Dakota,50
Montana,47
Hawaii,46
New Hampshire,46
North Dakota,44
Vermont,43
Maine,39
