Category: All categories

Region,sin: (2006)
Nevada,100
New York,67
Texas,65
Rhode Island,64
New Mexico,62
Arizona,61
California,61
Florida,61
Arkansas,59
New Jersey,59
Nebraska,58
Wyoming,58
Oklahoma,57
Kentucky,57
Connecticut,57
Utah,56
Michigan,56
Kansas,54
Mississippi,54
Maine,54
Indiana,54
North Carolina,52
District of Columbia,52
Virginia,52
Idaho,52
Pennsylvania,52
Louisiana,52
Washington,51
Illinois,50
South Carolina,50
Georgia,49
Alabama,49
Ohio,49
Massachusetts,49
Maryland,49
West Virginia,49
Oregon,49
Tennessee,48
Wisconsin,48
New Hampshire,48
Vermont,47
Missouri,47
Delaware,47
Minnesota,46
Hawaii,45
Colorado,44
Iowa,43
South Dakota,40
North Dakota,39
Alaska,36
Montana,35
