Category: All categories

Region,sin: (2011)
Nevada,100
Texas,98
New York,80
Florida,79
New Jersey,77
California,76
Arizona,71
New Mexico,70
Rhode Island,69
Connecticut,67
Virginia,65
Maryland,64
Georgia,64
Delaware,63
Arkansas,63
Indiana,61
Colorado,61
Illinois,61
Mississippi,60
North Carolina,59
Tennessee,58
Massachusetts,58
Pennsylvania,57
Oklahoma,57
Wyoming,56
Michigan,55
Missouri,55
Alabama,54
Washington,54
Kentucky,54
West Virginia,53
Louisiana,53
South Carolina,53
South Dakota,52
Ohio,51
Alaska,51
Utah,51
Kansas,50
Nebraska,50
Wisconsin,49
Hawaii,49
Iowa,48
Oregon,47
Idaho,47
Minnesota,46
District of Columbia,45
Montana,45
North Dakota,44
Vermont,42
Maine,41
New Hampshire,41
