Category: All categories

Region,sin: (2019)
Nevada,100
Texas,99
Florida,97
California,85
New Jersey,81
Arizona,75
New Mexico,72
Maryland,68
Rhode Island,66
Arkansas,64
Virginia,64
Illinois,64
New York,64
Georgia,61
Connecticut,61
North Carolina,61
Louisiana,60
Massachusetts,60
Mississippi,58
Tennessee,58
Washington,58
Alabama,58
Utah,57
Colorado,56
Oregon,56
Oklahoma,55
Kansas,55
Indiana,55
Kentucky,54
Nebraska,54
Delaware,53
South Carolina,52
Pennsylvania,51
Ohio,50
Idaho,49
Wisconsin,49
Minnesota,48
Alaska,48
Missouri,47
Michigan,46
Iowa,46
District of Columbia,46
South Dakota,45
West Virginia,44
Wyoming,44
Montana,42
Hawaii,42
North Dakota,42
New Hampshire,41
Maine,37
Vermont,36
