Category: All categories

Region,sin: (2008)
Virginia,100
California,66
Nevada,44
Florida,35
Texas,33
New Jersey,33
New York,31
Rhode Island,30
Connecticut,30
New Mexico,29
Arkansas,27
Mississippi,27
Illinois,27
Arizona,26
Indiana,26
Delaware,26
Alabama,25
District of Columbia,25
Oklahoma,25
Idaho,25
Georgia,24
Kentucky,24
South Dakota,24
Maryland,24
Louisiana,24
Tennessee,24
Utah,24
Oregon,24
Vermont,23
Kansas,23
Alaska,23
South Carolina,23
New Hampshire,23
North Dakota,23
North Carolina,22
Missouri,22
Pennsylvania,22
Nebraska,22
Washington,22
Massachusetts,22
Michigan,21
Colorado,21
Wisconsin,21
Iowa,21
Maine,21
West Virginia,21
Montana,20
Hawaii,20
Ohio,20
Minnesota,19
Wyoming,17
