Category: All categories

Region,tie a noose: (2014)
Vermont,
Alaska,
Utah,100
West Virginia,95
Wyoming,
Montana,
Rhode Island,
Delaware,
Oklahoma,70
Nevada,62
Kansas,62
Iowa,62
Indiana,58
New Hampshire,58
Missouri,54
Arkansas,54
Michigan,54
Maine,
Washington,50
Arizona,50
Colorado,50
New Mexico,
Mississippi,50
Alabama,50
Kentucky,45
Wisconsin,45
Idaho,45
Pennsylvania,45
South Dakota,
Georgia,41
South Carolina,41
New Jersey,41
Texas,37
Connecticut,37
North Carolina,37
Ohio,37
Massachusetts,37
Maryland,37
Illinois,37
Hawaii,
Tennessee,33
New York,33
California,29
Nebraska,29
Virginia,29
Florida,29
Oregon,25
Louisiana,25
Minnesota,20
District of Columbia,
North Dakota,
