Category: All categories

Region,tie a noose: (2020)
Idaho,100
Wyoming,
Alaska,
West Virginia,86
Montana,
Hawaii,
Maine,
North Dakota,82
Oklahoma,73
Utah,69
Iowa,69
Kentucky,69
Missouri,69
Nebraska,69
South Dakota,
Arkansas,65
Colorado,65
Indiana,60
New Mexico,
Washington,60
Ohio,60
Minnesota,60
Michigan,56
Arizona,52
Oregon,52
Tennessee,52
Wisconsin,52
Pennsylvania,52
Alabama,52
Kansas,47
South Carolina,47
Rhode Island,
California,43
North Carolina,39
Virginia,39
Texas,39
New Hampshire,39
Connecticut,39
Georgia,39
Vermont,
Illinois,39
Louisiana,34
New Jersey,34
Mississippi,34
Massachusetts,34
Nevada,34
Florida,34
New York,30
Maryland,26
Delaware,
District of Columbia,
