Category: All categories

Region,tie a noose: (2013)
Kansas,100
Hawaii,
North Dakota,90
South Dakota,
Alabama,90
Wyoming,
Utah,80
Idaho,75
Iowa,75
Connecticut,70
Alaska,
Indiana,65
West Virginia,65
Missouri,60
Washington,60
Michigan,60
Wisconsin,60
New Mexico,
North Carolina,55
Colorado,55
Louisiana,55
Ohio,55
Pennsylvania,55
Massachusetts,55
Florida,55
Nevada,55
Oregon,50
Oklahoma,50
New Hampshire,50
Georgia,45
Illinois,45
Maryland,45
Minnesota,45
Tennessee,40
California,40
Virginia,40
Montana,
New Jersey,40
Arizona,40
Rhode Island,
Kentucky,35
South Carolina,35
Maine,
Texas,35
Arkansas,35
New York,30
Mississippi,30
Nebraska,30
District of Columbia,
Delaware,
Vermont,
