Category: All categories

Region,tie a noose: (2010)
West Virginia,100
Delaware,
North Dakota,62
Oklahoma,31
Arkansas,30
Vermont,
New Hampshire,27
Alaska,
New Mexico,
Indiana,22
South Dakota,
Oregon,18
Utah,17
Nebraska,17
Maine,
South Carolina,11
Louisiana,11
Hawaii,
Colorado,10
Tennessee,9
Missouri,9
Arizona,8
Massachusetts,8
Illinois,8
Maryland,7
Minnesota,6
Washington,6
Pennsylvania,5
Ohio,5
Kentucky,5
Michigan,5
New Jersey,5
Florida,5
New York,5
Texas,4
Wisconsin,4
Virginia,4
District of Columbia,
Georgia,3
California,3
Connecticut,3
North Carolina,2
Alabama,
Iowa,
Idaho,
Kansas,
Mississippi,
Montana,
Nevada,
Rhode Island,
Wyoming,
