Category: All categories

Region,stress: (2017)
Indiana,100
Pennsylvania,96
New Jersey,93
Wisconsin,93
Ohio,90
Iowa,89
Vermont,89
Missouri,87
Maryland,86
Massachusetts,86
North Dakota,86
Mississippi,85
South Dakota,85
New York,84
Illinois,84
Michigan,83
South Carolina,83
Connecticut,83
Virginia,82
Alabama,82
Colorado,81
Delaware,81
West Virginia,81
Kentucky,80
California,80
North Carolina,80
Alaska,80
Minnesota,80
Kansas,80
Nebraska,79
Tennessee,78
Maine,77
Oregon,77
Arkansas,77
Texas,77
Utah,77
Oklahoma,77
Rhode Island,75
District of Columbia,75
New Hampshire,75
Arizona,74
Montana,74
Louisiana,74
Wyoming,74
Georgia,74
Florida,71
Washington,70
New Mexico,70
Idaho,68
Nevada,65
Hawaii,62
